"comparison","sequence","n","response_prior","eig"
"fair-bias","TTTT",1,"ignorance",0.106698457400605
"fair-bias","TTTH",1,"ignorance",0.0153410825894235
"fair-bias","TTHT",1,"ignorance",0.0153410825894235
"fair-bias","TTHH",1,"ignorance",-2.77555756156289e-17
"fair-bias","THTT",1,"ignorance",0.0153410825894235
"fair-bias","THTH",1,"ignorance",-2.77555756156289e-17
"fair-bias","THHT",1,"ignorance",-2.77555756156289e-17
"fair-bias","THHH",1,"ignorance",0.0153410825894237
"fair-bias","HTTT",1,"ignorance",0.0153410825894237
"fair-bias","HTTH",1,"ignorance",-2.77555756156289e-17
"fair-bias","HTHT",1,"ignorance",-2.77555756156289e-17
"fair-bias","HTHH",1,"ignorance",0.0153410825894237
"fair-bias","HHTT",1,"ignorance",-2.77555756156289e-17
"fair-bias","HHTH",1,"ignorance",0.0153410825894237
"fair-bias","HHHT",1,"ignorance",0.0153410825894237
"fair-bias","HHHH",1,"ignorance",0.106698457400605
"bias-markov","TTTT",1,"ignorance",0.00313262581080966
"bias-markov","TTTH",1,"ignorance",0.0368592898098678
"bias-markov","TTHT",1,"ignorance",0.0368592898098678
"bias-markov","TTHH",1,"ignorance",0.005221166802902
"bias-markov","THTT",1,"ignorance",0.0368592898098679
"bias-markov","THTH",1,"ignorance",0.0806956679636679
"bias-markov","THHT",1,"ignorance",0.005221166802902
"bias-markov","THHH",1,"ignorance",0.0027858159073707
"bias-markov","HTTT",1,"ignorance",0.00278581590737062
"bias-markov","HTTH",1,"ignorance",0.00522116680290206
"bias-markov","HTHT",1,"ignorance",0.0806956679636679
"bias-markov","HTHH",1,"ignorance",0.0368592898098678
"bias-markov","HHTT",1,"ignorance",0.00522116680290206
"bias-markov","HHTH",1,"ignorance",0.0368592898098678
"bias-markov","HHHT",1,"ignorance",0.0368592898098678
"bias-markov","HHHH",1,"ignorance",0.00313262581080976
"threeway","TTTT",1,"ignorance",0.102508532605344
"threeway","TTTH",1,"ignorance",0.0249739983637892
"threeway","TTHT",1,"ignorance",0.0249739983637892
"threeway","TTHH",1,"ignorance",0.00458639544728194
"threeway","THTT",1,"ignorance",0.0249739983637891
"threeway","THTH",1,"ignorance",0.0625968891961291
"threeway","THHT",1,"ignorance",0.00458639544728194
"threeway","THHH",1,"ignorance",0.0104264009568218
"threeway","HTTT",1,"ignorance",0.0104264009568217
"threeway","HTTH",1,"ignorance",0.00458639544728196
"threeway","HTHT",1,"ignorance",0.0625968891961292
"threeway","HTHH",1,"ignorance",0.0249739983637892
"threeway","HHTT",1,"ignorance",0.00458639544728196
"threeway","HHTH",1,"ignorance",0.0249739983637892
"threeway","HHHT",1,"ignorance",0.0249739983637892
"threeway","HHHH",1,"ignorance",0.102508532605344
"fair-bias","TTTT",1,"predictive",0.0809493198916049
"fair-bias","TTTH",1,"predictive",0.0145004771662106
"fair-bias","TTHT",1,"predictive",0.0145004771662106
"fair-bias","TTHH",1,"predictive",-2.77555756156289e-17
"fair-bias","THTT",1,"predictive",0.0145004771662106
"fair-bias","THTH",1,"predictive",-2.77555756156289e-17
"fair-bias","THHT",1,"predictive",-2.77555756156289e-17
"fair-bias","THHH",1,"predictive",0.0145004771662107
"fair-bias","HTTT",1,"predictive",0.0145004771662107
"fair-bias","HTTH",1,"predictive",-2.77555756156289e-17
"fair-bias","HTHT",1,"predictive",-2.77555756156289e-17
"fair-bias","HTHH",1,"predictive",0.0145004771662107
"fair-bias","HHTT",1,"predictive",-2.77555756156289e-17
"fair-bias","HHTH",1,"predictive",0.0145004771662107
"fair-bias","HHHT",1,"predictive",0.0145004771662107
"fair-bias","HHHH",1,"predictive",0.0809493198916049
"bias-markov","TTTT",1,"predictive",0.00107825858073457
"bias-markov","TTTH",1,"predictive",0.0365268975169622
"bias-markov","TTHT",1,"predictive",0.0365268975169622
"bias-markov","TTHH",1,"predictive",0.0051164610248509
"bias-markov","THTT",1,"predictive",0.0365268975169623
"bias-markov","THTH",1,"predictive",0.0643260724638145
"bias-markov","THHT",1,"predictive",0.0051164610248509
"bias-markov","THHH",1,"predictive",0.00241221154143566
"bias-markov","HTTT",1,"predictive",0.00241221154143555
"bias-markov","HTTH",1,"predictive",0.00511646102485096
"bias-markov","HTHT",1,"predictive",0.0643260724638146
"bias-markov","HTHH",1,"predictive",0.0365268975169622
"bias-markov","HHTT",1,"predictive",0.00511646102485096
"bias-markov","HHTH",1,"predictive",0.0365268975169622
"bias-markov","HHHT",1,"predictive",0.0365268975169622
"bias-markov","HHHH",1,"predictive",0.0010782585807346
"threeway","TTTT",1,"predictive",0.0673973674894403
"threeway","TTTH",1,"predictive",0.0248490724902564
"threeway","TTHT",1,"predictive",0.0248490724902564
"threeway","TTHH",1,"predictive",0.00453848618849049
"threeway","THTT",1,"predictive",0.0248490724902564
"threeway","THTH",1,"predictive",0.0556820594681387
"threeway","THHT",1,"predictive",0.00453848618849049
"threeway","THHH",1,"predictive",0.00979731903352476
"threeway","HTTT",1,"predictive",0.00979731903352471
"threeway","HTTH",1,"predictive",0.0045384861884905
"threeway","HTHT",1,"predictive",0.0556820594681388
"threeway","HTHH",1,"predictive",0.0248490724902565
"threeway","HHTT",1,"predictive",0.0045384861884905
"threeway","HHTH",1,"predictive",0.0248490724902565
"threeway","HHHT",1,"predictive",0.0248490724902565
"threeway","HHHH",1,"predictive",0.0673973674894403
"fair-bias","TTTT",20,"ignorance",0.609104693488463
"fair-bias","TTTH",20,"ignorance",0.469599107193055
"fair-bias","TTHT",20,"ignorance",0.469599107193055
"fair-bias","TTHH",20,"ignorance",5.55111512312584e-17
"fair-bias","THTT",20,"ignorance",0.469599107193055
"fair-bias","THTH",20,"ignorance",5.55111512312584e-17
"fair-bias","THHT",20,"ignorance",5.55111512312584e-17
"fair-bias","THHH",20,"ignorance",0.469599107193055
"fair-bias","HTTT",20,"ignorance",0.469599107193056
"fair-bias","HTTH",20,"ignorance",5.55111512312584e-17
"fair-bias","HTHT",20,"ignorance",5.55111512312584e-17
"fair-bias","HTHH",20,"ignorance",0.469599107193055
"fair-bias","HHTT",20,"ignorance",5.55111512312584e-17
"fair-bias","HHTH",20,"ignorance",0.469599107193055
"fair-bias","HHHT",20,"ignorance",0.469599107193055
"fair-bias","HHHH",20,"ignorance",0.609104693488462
"bias-markov","TTTT",20,"ignorance",0.294329302671384
"bias-markov","TTTH",20,"ignorance",0.551309229267681
"bias-markov","TTHT",20,"ignorance",0.551309229267681
"bias-markov","TTHH",20,"ignorance",0.330183737238939
"bias-markov","THTT",20,"ignorance",0.551309229267681
"bias-markov","THTH",20,"ignorance",0.595499078985733
"bias-markov","THHT",20,"ignorance",0.330183737238939
"bias-markov","THHH",20,"ignorance",0.24236856871413
"bias-markov","HTTT",20,"ignorance",0.24236856871413
"bias-markov","HTTH",20,"ignorance",0.330183737238938
"bias-markov","HTHT",20,"ignorance",0.595499078985733
"bias-markov","HTHH",20,"ignorance",0.551309229267681
"bias-markov","HHTT",20,"ignorance",0.330183737238938
"bias-markov","HHTH",20,"ignorance",0.551309229267681
"bias-markov","HHHT",20,"ignorance",0.551309229267681
"bias-markov","HHHH",20,"ignorance",0.294329302671383
"threeway","TTTT",20,"ignorance",0.784334949606659
"threeway","TTTH",20,"ignorance",0.638909096043536
"threeway","TTHT",20,"ignorance",0.638909096043536
"threeway","TTHH",20,"ignorance",0.30990739201061
"threeway","THTT",20,"ignorance",0.638909096043535
"threeway","THTH",20,"ignorance",0.519905769619318
"threeway","THHT",20,"ignorance",0.30990739201061
"threeway","THHH",20,"ignorance",0.516332668254842
"threeway","HTTT",20,"ignorance",0.516332668254842
"threeway","HTTH",20,"ignorance",0.309907392010609
"threeway","HTHT",20,"ignorance",0.519905769619318
"threeway","HTHH",20,"ignorance",0.638909096043536
"threeway","HHTT",20,"ignorance",0.309907392010609
"threeway","HHTH",20,"ignorance",0.638909096043536
"threeway","HHHT",20,"ignorance",0.638909096043536
"threeway","HHHH",20,"ignorance",0.784334949606659
"fair-bias","TTTT",20,"predictive",0.6124544821848
"fair-bias","TTTH",20,"predictive",0.228791949827699
"fair-bias","TTHT",20,"predictive",0.228791949827699
"fair-bias","TTHH",20,"predictive",-5.64812157141004e-17
"fair-bias","THTT",20,"predictive",0.228791949827699
"fair-bias","THTH",20,"predictive",-5.64812157141004e-17
"fair-bias","THHT",20,"predictive",-5.64812157141004e-17
"fair-bias","THHH",20,"predictive",0.2287919498277
"fair-bias","HTTT",20,"predictive",0.2287919498277
"fair-bias","HTTH",20,"predictive",-5.64812157141004e-17
"fair-bias","HTHT",20,"predictive",-5.64812157141004e-17
"fair-bias","HTHH",20,"predictive",0.2287919498277
"fair-bias","HHTT",20,"predictive",-5.64812157141004e-17
"fair-bias","HHTH",20,"predictive",0.2287919498277
"fair-bias","HHHT",20,"predictive",0.2287919498277
"fair-bias","HHHH",20,"predictive",0.6124544821848
"bias-markov","TTTT",20,"predictive",0.0211366024009566
"bias-markov","TTTH",20,"predictive",0.432596487550007
"bias-markov","TTHT",20,"predictive",0.432596487550007
"bias-markov","TTHH",20,"predictive",0.0934213389714253
"bias-markov","THTT",20,"predictive",0.432596487550007
"bias-markov","THTH",20,"predictive",0.567354905561716
"bias-markov","THHT",20,"predictive",0.0934213389714253
"bias-markov","THHH",20,"predictive",0.0461538675780375
"bias-markov","HTTT",20,"predictive",0.0461538675780377
"bias-markov","HTTH",20,"predictive",0.0934213389714249
"bias-markov","HTHT",20,"predictive",0.567354905561716
"bias-markov","HTHH",20,"predictive",0.432596487550007
"bias-markov","HHTT",20,"predictive",0.0934213389714249
"bias-markov","HHTH",20,"predictive",0.432596487550007
"bias-markov","HHHT",20,"predictive",0.432596487550007
"bias-markov","HHHH",20,"predictive",0.0211366024009565
"threeway","TTTT",20,"predictive",0.552849842918198
"threeway","TTTH",20,"predictive",0.343652118649167
"threeway","TTHT",20,"predictive",0.343652118649167
"threeway","TTHH",20,"predictive",0.0835886258522626
"threeway","THTT",20,"predictive",0.343652118649166
"threeway","THTH",20,"predictive",0.517646280733613
"threeway","THHT",20,"predictive",0.0835886258522626
"threeway","THHH",20,"predictive",0.166002580856074
"threeway","HTTT",20,"predictive",0.166002580856074
"threeway","HTTH",20,"predictive",0.0835886258522622
"threeway","HTHT",20,"predictive",0.517646280733613
"threeway","HTHH",20,"predictive",0.343652118649167
"threeway","HHTT",20,"predictive",0.0835886258522622
"threeway","HHTH",20,"predictive",0.343652118649167
"threeway","HHHT",20,"predictive",0.343652118649167
"threeway","HHHH",20,"predictive",0.552849842918199
